[ 2016-03-17T10:03:09+08:00 ] /puji/ | SQL: SELECT * FROM `y_category` WHERE ( `alias` = 'index/adList' ) AND ( `hardware` = 'pc' ) AND ( `lang` = 'zh-cn' ) LIMIT 1  [ RunTime:0.000000s ]
[ 2016-03-17T10:03:09+08:00 ] /puji/ | SQL: SELECT * FROM `y_category` WHERE ( `pid` = '1168' ) AND ( `hardware` = 'pc' ) AND ( `lang` = 'zh-cn' ) ORDER BY ordernum desc [ RunTime:0.000000s ]
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [2] Invalid argument supplied for foreach() CategoryModel.class.php 第 52 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: Number ListWidget.class.php 第 24 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: isHome ListWidget.class.php 第 70 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: is_top ListWidget.class.php 第 74 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: isTop ListWidget.class.php 第 78 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: search_key ListWidget.class.php 第 81 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: is_home ListWidget.class.php 第 89 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | SQL: SELECT COUNT(*) AS tp_count FROM `y_advert` WHERE ( `category_id` IN ('1168') ) AND ( `lang` = 'zh-cn' ) AND ( `is_publish` = 1 ) LIMIT 1  [ RunTime:0.000000s ]
[ 2016-03-17T10:03:09+08:00 ] /puji/ | SQL: SELECT * FROM `y_advert` WHERE ( `category_id` IN ('1168') ) AND ( `lang` = 'zh-cn' ) AND ( `is_publish` = 1 ) ORDER BY is_top desc, ordernum desc, create_time desc,id desc LIMIT 0,5  [ RunTime:0.000000s ]
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [2048] Creating default object from empty value ListWidget.class.php 第 108 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | SQL: SELECT * FROM `y_category` WHERE ( `id` IN ('12','23','1168') ) ORDER BY id asc [ RunTime:0.000000s ]
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined variable: isOne ListWidget.class.php 第 126 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: cid ListWidget.class.php 第 17 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | SQL: SELECT * FROM `y_category` WHERE ( `alias` = 'index/adList' ) AND ( `hardware` = 'pc' ) AND ( `lang` = 'zh-cn' ) LIMIT 1  [ RunTime:0.000000s ]
[ 2016-03-17T10:03:09+08:00 ] /puji/ | SQL: SELECT * FROM `y_category` WHERE ( `pid` = '1168' ) AND ( `hardware` = 'pc' ) AND ( `lang` = 'zh-cn' ) ORDER BY ordernum desc [ RunTime:0.000000s ]
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [2] Invalid argument supplied for foreach() CategoryModel.class.php 第 52 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: Number ListWidget.class.php 第 24 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: isHome ListWidget.class.php 第 70 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: is_top ListWidget.class.php 第 74 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: isTop ListWidget.class.php 第 78 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: search_key ListWidget.class.php 第 81 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: is_home ListWidget.class.php 第 89 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | SQL: SELECT COUNT(*) AS tp_count FROM `y_advert` WHERE ( `category_id` IN ('1168') ) AND ( `lang` = 'zh-cn' ) AND ( `is_publish` = 1 ) LIMIT 1  [ RunTime:0.001000s ]
[ 2016-03-17T10:03:09+08:00 ] /puji/ | SQL: SELECT * FROM `y_advert` WHERE ( `category_id` IN ('1168') ) AND ( `lang` = 'zh-cn' ) AND ( `is_publish` = 1 ) ORDER BY is_top desc, ordernum desc, create_time desc,id desc LIMIT 0,5  [ RunTime:0.000000s ]
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [2048] Creating default object from empty value ListWidget.class.php 第 108 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | SQL: SELECT * FROM `y_category` WHERE ( `id` IN ('12','23','1168') ) ORDER BY id asc [ RunTime:0.000000s ]
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined variable: isOne ListWidget.class.php 第 126 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined index: id 088e6b7781346a9273d18ce81bf9a61b.php 第 2 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | NOTIC: [8] Undefined variable: headTitle 088e6b7781346a9273d18ce81bf9a61b.php 第 2 行.
[ 2016-03-17T10:03:09+08:00 ] /puji/ | SQL: SHOW COLUMNS FROM `y_link` [ RunTime:0.002000s ]
